date,product,region,quantity,price,revenue,cost,profit
2023-01-09,Beta Jeans,West,23,146.12,3360.76,2158.55,1202.21
2023-01-09,Gamma Jacket,North,18,175.99,3167.82,2038.81,1129.01
2023-01-09,Gamma Jacket,South,17,176.22,2995.74,1772.12,1223.62
2023-01-09,Gamma Jacket,East,17,170.96,2906.32,1676.85,1229.47
2023-01-09,Gamma Jacket,West,8,179.69,1437.52,872.61,564.91
2023-01-09,Delta Shoes,North,21,230.83,4847.43,2877.34,1970.09
2023-01-09,Delta Shoes,South,33,207.65,6852.45,4190.08,2662.37
2023-01-09,Delta Shoes,East,32,223.18,7141.76,4811.11,2330.65
2023-01-09,Delta Shoes,West,18,213.15,3836.7,2238.08,1598.62
2023-01-09,Epsilon Hat,North,11,77.79,855.69,529.66,326.03
2023-01-09,Epsilon Hat,South,7,81.14,567.98,346.49,221.49
2023-01-09,Epsilon Hat,East,8,82.78,662.24,376.27,285.97
2023-01-09,Epsilon Hat,West,10,82.36,823.6,521.55,302.05
2023-01-10,Alpha Shirt,North,23,213.82,4917.86,3046.42,1871.44
2023-01-10,Alpha Shirt,South,27,198.33,5354.91,3236.52,2118.39
2023-01-10,Alpha Shirt,East,18,203.69,3666.42,2156.59,1509.83
2023-01-10,Alpha Shirt,West,26,201.91,5249.66,3157.11,2092.55
2023-01-10,Beta Jeans,North,17,154.84,2632.28,1750.2,882.08
2023-01-10,Beta Jeans,South,19,151.87,2885.53,1867.87,1017.66
2023-01-10,Beta Jeans,East,26,154.56,4018.56,2433.63,1584.93
2023-01-10,Beta Jeans,West,18,158.05,2844.9,1619.33,1225.57
2023-01-10,Gamma Jacket,North,16,174.97,2799.52,1711.39,1088.13
2023-01-10,Gamma Jacket,South,22,194.09,4269.98,2553.57,1716.41
2023-01-10,Gamma Jacket,East,21,166.97,3506.37,1872.53,1633.84
2023-01-10,Gamma Jacket,West,14,170.81,2391.34,1485.62,905.72
2023-01-10,Delta Shoes,North,15,205.92,3088.8,1934.13,1154.67
2023-01-10,Delta Shoes,South,33,227.15,7495.95,4475.27,3020.68
2023-01-10,Delta Shoes,East,22,203.22,4470.84,2589.7,1881.14
2023-01-10,Delta Shoes,West,30,206.23,6186.9,3980.11,2206.79
2023-01-10,Epsilon Hat,North,11,80.79,888.69,552.12,336.57
2023-01-10,Epsilon Hat,South,7,80.51,563.57,326.63,236.94
2023-01-10,Epsilon Hat,East,5,78.19,390.95,206.14,184.81
2023-01-10,Epsilon Hat,West,7,79.99,559.93,316.5,243.43
2023-01-11,Alpha Shirt,North,22,197.79,4351.38,2614.34,1737.04
2023-01-11,Alpha Shirt,South,18,197.53,3555.54,2060.58,1494.96
2023-01-11,Alpha Shirt,East,8,189.98,1519.84,899.09,620.75
2023-01-11,Alpha Shirt,West,22,194.29,4274.38,2638.05,1636.33
2023-01-11,Beta Jeans,North,11,160.5,1765.5,1108.27,657.23
2023-01-11,Beta Jeans,South,18,157.87,2841.66,1659.37,1182.29
2023-01-11,Beta Jeans,East,16,165.56,2648.96,1534.61,1114.35
2023-01-11,Beta Jeans,West,16,145.11,2321.76,1359.35,962.41
2023-01-11,Gamma Jacket,North,24,184.71,4433.04,2583.53,1849.51
2023-01-11,Gamma Jacket,South,21,195.55,4106.55,2517.68,1588.87
2023-01-11,Gamma Jacket,East,14,177.68,2487.52,1367.99,1119.53
2023-01-11,Gamma Jacket,West,24,175.65,4215.6,2728.42,1487.18
2023-01-11,Delta Shoes,North,20,222.47,4449.4,2809.41,1639.99
2023-01-11,Delta Shoes,South,22,231.87,5101.14,3054.79,2046.35
2023-01-11,Delta Shoes,East,30,227.18,6815.4,3766.93,3048.47
2023-01-11,Delta Shoes,West,31,236.24,7323.44,4697.27,2626.17
2023-01-11,Epsilon Hat,North,9,82.17,739.53,435.5,304.03
2023-01-11,Epsilon Hat,South,9,78.13,703.17,429.21,273.96
2023-01-11,Epsilon Hat,East,6,78.96,473.76,301.79,171.97
2023-01-11,Epsilon Hat,West,5,83.39,416.95,265.46,151.49
2023-01-12,Alpha Shirt,North,20,203.63,4072.6,2602.24,1470.36
2023-01-12,Alpha Shirt,South,27,196.73,5311.71,3099.23,2212.48
2023-01-12,Alpha Shirt,East,30,198.69,5960.7,3391.35,2569.35
2023-01-12,Alpha Shirt,West,29,194.11,5629.19,3379.08,2250.11
2023-01-12,Beta Jeans,North,26,151.05,3927.3,2409.7,1517.6
2023-01-12,Beta Jeans,South,21,134.24,2819.04,1939.87,879.17
2023-01-12,Beta Jeans,East,18,142.96,2573.28,1593.7,979.58
2023-01-12,Beta Jeans,West,9,158.05,1422.45,846.47,575.98
2023-01-12,Gamma Jacket,North,14,179.72,2516.08,1660.87,855.21
2023-01-12,Gamma Jacket,South,20,175.96,3519.2,2118.65,1400.55
2023-01-12,Gamma Jacket,East,27,170.31,4598.37,2851.23,1747.14
2023-01-12,Gamma Jacket,West,21,173.06,3634.26,2212.9,1421.36
2023-01-12,Delta Shoes,North,21,223.75,4698.75,3021.56,1677.19
2023-01-12,Delta Shoes,South,21,231.52,4861.92,3000.28,1861.64
2023-01-12,Delta Shoes,East,22,221.33,4869.26,2771.29,2097.97
2023-01-12,Delta Shoes,West,21,210.26,4415.46,2854.93,1560.53
2023-01-12,Epsilon Hat,North,7,71.0,497.0,288.02,208.98
2023-01-12,Epsilon Hat,South,7,89.31,625.17,388.7,236.47
2023-01-12,Epsilon Hat,East,6,83.04,498.24,303.15,195.09
2023-01-12,Epsilon Hat,West,6,76.52,459.12,261.92,197.2
2023-01-13,Alpha Shirt,North,18,180.88,3255.84,1992.27,1263.57
2023-01-13,Alpha Shirt,South,22,193.97,4267.34,2357.26,1910.08
2023-01-13,Alpha Shirt,East,15,190.31,2854.65,1759.98,1094.67
2023-01-13,Alpha Shirt,West,21,201.6,4233.6,2421.12,1812.48
2023-01-13,Beta Jeans,North,13,160.48,2086.24,1247.04,839.2
2023-01-13,Beta Jeans,South,16,153.54,2456.64,1484.24,972.4
2023-01-13,Beta Jeans,East,17,147.87,2513.79,1538.53,975.26
2023-01-13,Beta Jeans,West,12,158.62,1903.44,1124.88,778.56
2023-01-13,Gamma Jacket,North,25,186.72,4668.0,2702.66,1965.34
2023-01-13,Gamma Jacket,South,16,196.38,3142.08,1807.18,1334.9
2023-01-13,Gamma Jacket,East,12,200.0,2400.0,1350.88,1049.12
2023-01-13,Gamma Jacket,West,14,176.81,2475.34,1518.88,956.46
2023-01-13,Delta Shoes,North,15,233.47,3502.05,2271.79,1230.26
2023-01-13,Delta Shoes,South,24,236.05,5665.2,3112.69,2552.51
2023-01-13,Delta Shoes,East,17,204.21,3471.57,1883.7,1587.87
2023-01-13,Delta Shoes,West,26,223.33,5806.58,3390.9,2415.68
2023-01-13,Epsilon Hat,North,5,75.6,378.0,218.73,159.27
2023-01-13,Epsilon Hat,South,5,84.12,420.6,253.73,166.87
2023-01-13,Epsilon Hat,East,10,82.23,822.3,495.25,327.05
2023-01-13,Epsilon Hat,West,7,84.37,590.59,365.15,225.44
2023-01-14,Alpha Shirt,North,29,189.08,5483.32,3237.94,2245.38
2023-01-14,Alpha Shirt,South,21,223.19,4686.99,2867.5,1819.49
2023-01-14,Alpha Shirt,East,15,207.08,3106.2,1952.87,1153.33
2023-01-14,Alpha Shirt,West,17,181.64,3087.88,1899.79,1188.09
2023-01-14,Beta Jeans,North,14,152.91,2140.74,1444.55,696.19
2023-01-14,Beta Jeans,South,22,150.61,3313.42,1978.22,1335.2
2023-01-14,Beta Jeans,East,14,152.01,2128.14,1297.42,830.72
2023-01-14,Beta Jeans,West,19,148.69,2825.11,1631.01,1194.1
2023-01-14,Gamma Jacket,North,14,180.25,2523.5,1513.41,1010.09
2023-01-14,Gamma Jacket,South,21,179.77,3775.17,2357.72,1417.45
2023-01-14,Gamma Jacket,East,20,180.09,3601.8,2019.33,1582.47
2023-01-14,Gamma Jacket,West,17,174.51,2966.67,1763.36,1203.31
2023-01-14,Delta Shoes,North,36,220.71,7945.56,4296.45,3649.11
2023-01-14,Delta Shoes,South,22,206.69,4547.18,2810.15,1737.03
2023-01-14,Delta Shoes,East,25,217.65,5441.25,3508.09,1933.16
2023-01-14,Delta Shoes,West,17,213.25,3625.25,2142.25,1483.0
2023-01-14,Epsilon Hat,North,10,79.49,794.9,500.53,294.37
2023-01-14,Epsilon Hat,South,6,77.69,466.14,243.45,222.69
2023-01-14,Epsilon Hat,East,5,79.94,399.7,246.77,152.93
2023-01-14,Epsilon Hat,West,6,84.67,508.02,291.66,216.36
2023-01-15,Alpha Shirt,North,21,191.25,4016.25,2135.48,1880.77
2023-01-15,Alpha Shirt,South,18,184.01,3312.18,1946.89,1365.29
2023-01-15,Alpha Shirt,East,26,199.12,5177.12,3249.37,1927.75
2023-01-15,Alpha Shirt,West,23,202.77,4663.71,2910.08,1753.63
2023-01-15,Beta Jeans,North,17,141.07,2398.19,1443.42,954.77
2023-01-15,Beta Jeans,South,19,148.28,2817.32,1698.0,1119.32
2023-01-15,Beta Jeans,East,9,143.98,1295.82,827.98,467.84
2023-01-15,Beta Jeans,West,13,155.1,2016.3,1279.82,736.48
2023-01-15,Gamma Jacket,North,14,182.54,2555.56,1479.07,1076.49
2023-01-15,Gamma Jacket,South,23,185.46,4265.58,2727.13,1538.45
2023-01-15,Gamma Jacket,East,17,182.53,3103.01,1775.64,1327.37
2023-01-15,Gamma Jacket,West,23,174.75,4019.25,2416.2,1603.05
2023-01-15,Delta Shoes,North,24,228.2,5476.8,3383.58,2093.22
2023-01-15,Delta Shoes,South,25,226.13,5653.25,3356.27,2296.98
2023-01-15,Delta Shoes,East,19,200.88,3816.72,2067.0,1749.72
2023-01-15,Delta Shoes,West,19,222.32,4224.08,2513.59,1710.49
2023-01-15,Epsilon Hat,North,17,79.62,1353.54,808.64,544.9
2023-01-15,Epsilon Hat,South,15,79.0,1185.0,710.3,474.7
2023-01-15,Epsilon Hat,East,10,84.79,847.9,493.23,354.67
2023-01-15,Epsilon Hat,West,3,76.86,230.58,142.83,87.75
2023-01-16,Alpha Shirt,North,32,191.13,6116.16,3589.43,2526.73
2023-01-16,Alpha Shirt,South,18,217.27,3910.86,2299.63,1611.23
2023-01-16,Alpha Shirt,East,28,185.82,5202.96,2846.93,2356.03
2023-01-16,Alpha Shirt,West,24,184.74,4433.76,2828.2,1605.56
2023-01-16,Beta Jeans,North,20,145.86,2917.2,1974.2,943.0
2023-01-16,Beta Jeans,South,17,161.57,2746.69,1813.32,933.37
2023-01-16,Beta Jeans,East,16,157.68,2522.88,1558.57,964.31
2023-01-16,Beta Jeans,West,13,143.86,1870.18,1121.92,748.26
2023-01-16,Gamma Jacket,North,10,186.27,1862.7,1171.0,691.7
2023-01-16,Gamma Jacket,South,23,169.72,3903.56,2319.46,1584.1
2023-01-16,Gamma Jacket,East,17,179.26,3047.42,1817.32,1230.1
2023-01-16,Gamma Jacket,West,20,170.78,3415.6,2239.35,1176.25
2023-01-16,Delta Shoes,North,25,217.51,5437.75,3106.13,2331.62
2023-01-16,Delta Shoes,South,29,240.73,6981.17,4511.91,2469.26
2023-01-16,Delta Shoes,East,18,221.55,3987.9,2181.17,1806.73
2023-01-16,Delta Shoes,West,19,225.65,4287.35,2503.89,1783.46
2023-01-16,Epsilon Hat,North,8,81.42,651.36,369.36,282.0
2023-01-16,Epsilon Hat,South,6,76.49,458.94,263.98,194.96
2023-01-16,Epsilon Hat,East,8,80.41,643.28,364.14,279.14
2023-01-16,Epsilon Hat,West,8,73.75,590.0,344.64,245.36
2023-01-17,Alpha Shirt,North,18,202.94,3652.92,2043.09,1609.83
2023-01-17,Alpha Shirt,South,23,192.65,4430.95,2550.86,1880.09
2023-01-17,Alpha Shirt,East,27,189.84,5125.68,3084.89,2040.79
2023-01-17,Alpha Shirt,West,27,201.76,5447.52,3208.53,2238.99
2023-01-17,Beta Jeans,North,16,141.96,2271.36,1163.75,1107.61
2023-01-17,Beta Jeans,South,15,154.64,2319.6,1534.94,784.66
2023-01-17,Beta Jeans,East,8,148.63,1189.04,762.47,426.57
2023-01-17,Beta Jeans,West,12,146.38,1756.56,1003.7,752.86
2023-01-17,Gamma Jacket,North,23,182.91,4206.93,2492.31,1714.62
2023-01-17,Gamma Jacket,South,15,187.95,2819.25,1684.97,1134.28
2023-01-17,Gamma Jacket,East,19,182.69,3471.11,2004.38,1466.73
2023-01-17,Gamma Jacket,West,24,181.02,4344.48,2419.23,1925.25
2023-01-17,Delta Shoes,North,20,240.61,4812.2,3043.24,1768.96
2023-01-17,Delta Shoes,South,28,220.75,6181.0,3866.73,2314.27
2023-01-17,Delta Shoes,East,18,212.92,3832.56,2417.96,1414.6
2023-01-17,Delta Shoes,West,17,209.49,3561.33,2182.06,1379.27
2023-01-17,Epsilon Hat,North,12,75.24,902.88,534.81,368.07
2023-01-17,Epsilon Hat,South,5,76.78,383.9,237.21,146.69
2023-01-17,Epsilon Hat,East,12,83.36,1000.32,616.6,383.72
2023-01-17,Epsilon Hat,West,7,83.99,587.93,345.15,242.78
2023-01-18,Alpha Shirt,North,23,188.21,4328.83,2751.54,1577.29
2023-01-18,Alpha Shirt,South,24,202.83,4867.92,2882.94,1984.98
2023-01-18,Alpha Shirt,East,17,208.71,3548.07,1985.57,1562.5
2023-01-18,Alpha Shirt,West,24,190.0,4560.0,2643.28,1916.72
2023-01-18,Beta Jeans,North,21,154.76,3249.96,2058.17,1191.79
2023-01-18,Beta Jeans,South,13,155.04,2015.52,1324.19,691.33
2023-01-18,Beta Jeans,East,10,158.3,1583.0,944.08,638.92
2023-01-18,Beta Jeans,West,16,145.99,2335.84,1395.16,940.68
2023-01-18,Gamma Jacket,North,16,184.62,2953.92,1749.35,1204.57
2023-01-18,Gamma Jacket,South,22,175.18,3853.96,2405.8,1448.16
2023-01-18,Gamma Jacket,East,25,183.31,4582.75,3002.37,1580.38
2023-01-18,Gamma Jacket,West,12,179.83,2157.96,1275.15,882.81
2023-01-18,Delta Shoes,North,20,208.41,4168.2,2367.4,1800.8
2023-01-18,Delta Shoes,South,27,230.45,6222.15,4052.6,2169.55
2023-01-18,Delta Shoes,East,30,218.85,6565.5,3906.05,2659.45
2023-01-18,Delta Shoes,West,28,220.77,6181.56,3924.4,2257.16
2023-01-18,Epsilon Hat,North,7,80.76,565.32,356.17,209.15
2023-01-18,Epsilon Hat,South,13,79.02,1027.26,590.37,436.89
2023-01-18,Epsilon Hat,East,10,79.12,791.2,425.64,365.56
2023-01-18,Epsilon Hat,West,5,84.34,421.7,245.71,175.99
2023-01-19,Alpha Shirt,North,22,203.77,4482.94,2665.49,1817.45
2023-01-19,Alpha Shirt,South,20,191.14,3822.8,2324.49,1498.31
2023-01-19,Alpha Shirt,East,19,199.81,3796.39,2400.4,1395.99
2023-01-19,Alpha Shirt,West,15,186.22,2793.3,1520.28,1273.02
2023-01-19,Beta Jeans,North,15,155.79,2336.85,1509.46,827.39
2023-01-19,Beta Jeans,South,14,151.09,2115.26,1230.14,885.12
2023-01-19,Beta Jeans,East,18,143.76,2587.68,1381.11,1206.57
2023-01-19,Beta Jeans,West,14,161.41,2259.74,1322.56,937.18
2023-01-19,Gamma Jacket,North,11,184.61,2030.71,1208.17,822.54
