customer_id,join_date,segment,orders,clv,satisfaction,churn_flag
C00075,2024-05-12,Mid Value,4,494.27,4.38,0
C00076,2023-06-24,Mid Value,5,240.78,4.56,0
C00077,2023-10-06,Low Value,2,78.08,3.53,0
C00078,2023-09-17,Low Value,2,98.13,3.37,0
C00079,2023-09-19,Low Value,4,241.49,3.55,0
C00080,2024-09-10,Mid Value,5,757.26,3.48,0
C00081,2023-02-15,Low Value,2,119.28,3.39,0
C00082,2024-05-05,Low Value,2,82.6,3.56,0
C00083,2023-04-14,Mid Value,4,603.91,3.95,0
C00084,2024-02-23,Low Value,3,132.18,3.28,0
C00085,2024-07-02,Mid Value,2,302.23,3.68,0
C00086,2023-01-21,Low Value,1,58.91,3.91,0
C00087,2023-07-16,Mid Value,5,587.22,4.87,0
C00088,2023-02-21,Low Value,4,161.51,4.38,0
C00089,2023-06-12,High Value,4,1889.6,5.0,0
C00090,2023-09-15,Low Value,1,51.27,4.11,0
C00091,2023-08-31,Mid Value,1,142.09,3.74,0
C00092,2024-11-13,Low Value,2,122.08,3.5,1
C00093,2023-11-13,Low Value,2,94.22,3.66,1
C00094,2024-05-21,Low Value,2,86.31,3.46,0
C00095,2024-05-19,Mid Value,5,621.03,4.32,0
C00096,2024-12-01,High Value,13,4775.65,4.39,0
C00097,2023-09-27,Mid Value,7,836.96,3.14,1
C00098,2023-09-24,Mid Value,7,906.81,3.74,0
C00099,2023-05-16,Mid Value,3,293.96,4.22,0
C00100,2023-06-01,Low Value,3,104.18,3.43,1
C00101,2024-06-05,Mid Value,3,345.69,3.7,0
C00102,2024-03-12,Low Value,4,187.46,2.52,0
C00103,2023-04-19,Low Value,3,208.05,3.0,0
C00104,2024-10-07,Mid Value,3,337.12,3.78,0
C00105,2023-06-14,Mid Value,3,379.47,4.4,0
C00106,2023-05-07,Mid Value,2,269.95,4.89,0
C00107,2023-11-29,Low Value,1,48.22,4.41,1
C00108,2024-12-18,Low Value,4,190.18,4.35,0
C00109,2024-06-11,Low Value,4,218.45,3.62,0
C00110,2023-02-19,Low Value,3,151.04,4.01,0
C00111,2024-02-25,Mid Value,3,267.75,3.83,0
C00112,2024-12-22,High Value,5,1952.67,3.58,0
C00113,2023-10-11,Low Value,1,40.66,2.99,0
C00114,2024-01-11,Low Value,2,93.08,3.52,0
C00115,2024-04-12,Mid Value,3,438.31,3.77,0
C00116,2024-03-07,Low Value,1,44.59,3.51,1
C00117,2024-07-21,High Value,11,3041.49,3.97,0
C00118,2023-09-07,Low Value,1,56.72,3.93,1
C00119,2023-06-04,High Value,7,2419.58,4.56,0
C00120,2023-11-08,Low Value,4,222.81,3.94,0
C00121,2024-07-29,Low Value,1,59.2,4.31,0
C00122,2023-04-11,Low Value,2,93.61,3.37,0
C00123,2023-07-19,Mid Value,3,461.88,5.0,1
C00124,2023-07-06,Low Value,2,125.19,2.74,0
C00125,2024-11-21,Mid Value,4,459.76,4.78,0
C00126,2023-12-31,Low Value,1,49.33,2.49,0
C00127,2023-03-31,High Value,3,1046.53,4.29,0
C00128,2024-06-20,Low Value,1,33.16,3.53,0
C00129,2024-07-06,Mid Value,2,250.92,4.06,0
C00130,2023-03-31,Low Value,4,238.56,4.11,0
C00131,2024-04-03,Mid Value,5,475.1,3.95,0
C00132,2023-01-22,Low Value,2,124.57,4.21,1
C00133,2024-06-16,Low Value,3,130.72,2.76,0
C00134,2023-11-10,Low Value,1,32.79,3.71,0
C00135,2023-01-06,Mid Value,8,881.13,3.02,0
C00136,2024-05-19,Mid Value,2,275.64,4.62,0
C00137,2023-05-15,Low Value,3,184.34,3.9,0
C00138,2024-07-13,Mid Value,5,356.05,4.11,0
C00139,2024-02-26,Low Value,4,197.77,3.55,1
C00140,2023-12-28,Low Value,3,153.59,3.42,0
C00141,2023-03-10,High Value,9,2326.74,3.91,0
C00142,2024-12-09,High Value,5,1701.48,4.28,0
C00143,2024-06-20,High Value,3,882.12,3.56,0
C00144,2024-01-31,Low Value,3,202.63,3.99,0
C00145,2024-03-21,Low Value,1,36.66,3.66,1
C00146,2023-03-30,Mid Value,3,426.72,3.97,0
C00147,2024-05-28,Mid Value,5,554.23,4.42,0
C00148,2023-05-16,High Value,5,2321.41,3.78,0
C00149,2023-02-20,Mid Value,1,98.96,4.17,0
C00150,2023-05-24,Low Value,2,141.57,3.51,0
C00151,2024-09-12,High Value,6,2029.15,3.47,0
C00152,2024-02-09,Low Value,2,84.92,3.31,0
C00153,2024-12-06,Low Value,2,83.34,1.68,0
C00154,2023-12-13,Mid Value,3,407.61,5.0,1
C00155,2023-01-29,Low Value,1,38.17,2.74,0
C00156,2024-01-11,Low Value,1,34.52,3.06,0
C00157,2023-04-26,Low Value,1,70.9,3.3,1
C00158,2024-11-04,Low Value,3,171.39,3.27,0
C00159,2023-06-14,Low Value,1,53.74,3.46,0
C00160,2024-08-16,Mid Value,1,134.54,4.07,0
C00161,2024-01-21,Mid Value,3,382.0,3.52,0
C00162,2023-06-24,Mid Value,2,154.93,4.25,0
C00163,2024-08-08,Low Value,1,31.87,4.06,0
C00164,2023-04-13,Low Value,5,230.23,4.06,0
C00165,2023-07-07,Mid Value,6,607.0,3.79,0
C00166,2023-11-25,High Value,7,2070.89,3.83,0
C00167,2024-02-03,Mid Value,5,479.87,4.72,0
C00168,2023-02-01,High Value,7,3187.2,3.96,0
C00169,2023-12-27,Low Value,1,58.75,4.54,1
C00170,2024-07-10,Low Value,1,50.15,3.54,0
C00171,2023-12-30,High Value,12,5016.52,3.95,0
C00172,2024-11-23,Low Value,5,216.94,2.9,0
C00173,2024-11-16,Mid Value,3,308.09,3.69,0
C00174,2024-12-24,Low Value,1,55.92,4.1,0
C00175,2023-01-27,Low Value,1,48.43,3.06,0
C00176,2024-04-06,Low Value,2,97.23,3.05,1
C00177,2023-11-17,Low Value,2,132.24,2.79,1
C00178,2024-10-09,Mid Value,4,606.85,4.76,0
C00179,2024-03-15,Low Value,2,63.78,3.73,0
C00180,2024-07-23,Mid Value,5,481.42,4.37,0
C00181,2023-04-30,Low Value,2,114.53,3.78,0
C00182,2024-06-27,Mid Value,3,360.01,4.43,1
C00183,2024-10-13,Low Value,2,97.82,4.53,1
C00184,2024-08-20,High Value,6,1524.36,5.0,0
C00185,2024-12-22,Mid Value,5,577.35,3.93,1
C00186,2024-02-29,Low Value,2,81.54,3.14,0
C00187,2024-01-23,Mid Value,10,1174.39,4.7,0
C00188,2024-10-23,Mid Value,4,443.1,4.61,0
C00189,2024-07-15,Mid Value,5,685.53,4.66,0
C00190,2024-09-06,Low Value,3,138.09,3.49,0
C00191,2024-03-30,Low Value,3,141.33,3.31,0
C00192,2023-12-18,Mid Value,2,263.42,5.0,0
C00193,2024-11-13,Mid Value,5,521.76,5.0,0
C00194,2023-07-11,Low Value,1,52.57,3.53,0
C00195,2023-06-05,Low Value,3,136.73,3.76,1
C00196,2024-09-15,Low Value,1,45.31,3.5,0
C00197,2024-02-12,Low Value,2,116.57,4.29,0
C00198,2023-09-10,Low Value,4,243.84,3.18,0
C00199,2024-01-10,Low Value,3,114.79,3.01,1
C00200,2024-01-08,Mid Value,5,585.09,4.11,0
C00201,2024-07-02,Mid Value,1,117.12,3.89,0
C00202,2024-12-09,High Value,8,2413.09,3.51,1
C00203,2024-07-14,Low Value,1,61.14,3.9,0
C00204,2023-01-02,Low Value,5,224.31,3.29,0
C00205,2024-12-03,High Value,4,1640.28,3.63,1
C00206,2023-05-29,Low Value,2,124.51,3.43,0
C00207,2023-02-04,High Value,6,2304.13,4.07,0
C00208,2023-01-22,Low Value,2,108.09,2.81,0
C00209,2023-12-28,Low Value,3,123.39,3.62,0
C00210,2024-03-21,Mid Value,2,178.4,3.27,0
C00211,2023-09-16,Low Value,1,56.18,4.17,0
C00212,2023-11-26,Mid Value,2,229.7,4.42,0
C00213,2024-03-20,Mid Value,7,547.54,3.55,0
C00214,2023-02-22,Low Value,3,159.34,4.32,0
C00215,2023-04-16,High Value,6,2121.78,3.5,0
C00216,2024-06-09,High Value,9,2504.61,4.68,0
C00217,2023-04-09,Mid Value,9,1269.78,3.16,0
C00218,2024-02-11,Mid Value,7,891.68,3.6,0
C00219,2023-10-06,High Value,5,2116.64,3.8,0
C00220,2023-07-25,Low Value,2,84.21,3.53,0
C00221,2023-05-20,Low Value,2,108.34,4.73,1
C00222,2023-08-23,High Value,7,1565.02,3.42,0
C00223,2024-04-19,Low Value,3,144.27,3.32,1
C00224,2023-12-21,Low Value,2,102.31,2.59,1
C00225,2023-07-14,Low Value,2,105.31,2.44,0
C00226,2024-05-20,Mid Value,5,825.77,3.93,0
C00227,2024-07-11,Mid Value,5,568.84,3.36,0
C00228,2023-07-27,Mid Value,4,591.83,3.57,0
C00229,2023-08-21,High Value,6,2015.95,3.28,0
C00230,2024-09-04,Low Value,3,183.19,3.03,0
C00231,2023-08-29,High Value,1,375.71,5.0,0
C00232,2023-07-21,Mid Value,7,1047.42,4.04,0
C00233,2024-04-04,Low Value,2,107.51,3.28,0
C00234,2024-05-06,Low Value,2,115.18,3.58,1
C00235,2024-09-13,Low Value,3,126.82,3.95,0
C00236,2023-12-18,Mid Value,1,90.78,3.69,0
C00237,2024-11-03,Mid Value,6,828.1,5.0,0
C00238,2023-04-09,High Value,9,2104.08,3.26,0
C00239,2023-09-12,Low Value,1,59.91,2.84,1
C00240,2024-01-05,Mid Value,2,246.54,5.0,0
C00241,2024-10-31,Mid Value,4,345.96,3.94,1
C00242,2023-03-20,Low Value,2,106.75,2.8,0
C00243,2023-10-03,Mid Value,5,504.07,4.21,0
C00244,2024-08-14,Mid Value,3,384.58,4.29,0
C00245,2024-08-29,Mid Value,4,580.29,3.44,0
C00246,2024-02-01,Low Value,1,62.04,4.49,0
C00247,2024-03-27,Low Value,1,42.7,3.72,0
C00248,2024-09-22,High Value,9,3320.27,4.79,0
C00249,2024-01-18,High Value,8,2174.1,4.25,0
C00250,2024-04-27,High Value,6,2033.46,4.44,0
C00251,2024-12-16,High Value,5,1538.21,3.61,0
C00252,2023-03-12,Mid Value,5,649.11,2.91,0
C00253,2024-01-28,Low Value,2,58.79,3.3,0
C00254,2023-09-28,High Value,6,2429.04,4.28,0
C00255,2023-04-25,Low Value,2,121.94,3.84,0
C00256,2024-04-04,High Value,4,1567.15,4.39,0
C00257,2023-10-16,Low Value,1,56.84,2.46,1
C00258,2024-05-21,Mid Value,3,445.88,4.55,0
C00259,2024-04-29,Low Value,1,59.02,3.89,0
C00260,2023-04-20,Mid Value,5,581.69,3.79,0
C00261,2023-08-26,Low Value,4,165.78,3.2,0
C00262,2023-07-06,Mid Value,4,447.38,3.38,0
C00263,2024-06-15,Mid Value,4,452.32,4.1,0
C00264,2023-02-23,Mid Value,1,148.86,4.43,0
C00265,2023-09-04,Mid Value,6,738.0,3.62,0
C00266,2024-08-14,Mid Value,4,473.04,5.0,0
C00267,2023-01-06,Low Value,1,35.68,3.18,0
C00268,2024-01-09,High Value,7,2933.74,4.44,0
C00269,2024-11-26,High Value,8,1464.75,4.56,0
C00270,2024-09-22,Low Value,1,57.2,2.65,0
C00271,2023-07-17,High Value,9,3415.56,3.88,0
C00272,2023-09-07,Low Value,3,186.06,3.75,0
C00273,2024-01-26,Low Value,1,42.79,2.6,0
C00274,2024-11-28,High Value,10,2734.17,4.16,0
C00275,2023-06-28,Low Value,1,52.33,4.4,0
C00276,2023-04-30,Low Value,1,52.16,3.03,0
C00277,2024-10-09,Mid Value,3,267.44,4.44,0
C00278,2023-09-24,Low Value,1,57.38,4.11,0
C00279,2024-12-05,Mid Value,3,403.1,3.99,0
C00280,2023-01-26,Low Value,1,47.48,3.42,1
C00281,2023-02-06,Low Value,1,53.98,3.25,0
C00282,2023-01-17,Mid Value,2,172.18,3.36,0
C00283,2023-12-31,Mid Value,5,519.19,3.06,0
C00284,2024-11-27,Mid Value,2,177.78,3.6,0
C00285,2023-07-24,Mid Value,6,884.58,3.97,1
C00286,2024-02-01,Mid Value,4,441.95,3.51,0
C00287,2024-06-10,Mid Value,2,196.19,4.47,0
C00288,2023-03-10,Mid Value,4,459.71,3.84,0
C00289,2024-11-04,Low Value,5,218.35,4.34,0
C00290,2023-03-18,Mid Value,2,195.78,4.45,0
C00291,2024-10-23,Low Value,3,112.75,3.22,0
C00292,2024-03-02,High Value,8,1952.52,4.99,1
C00293,2024-05-20,Low Value,2,81.24,3.0,0
C00294,2024-12-04,Low Value,2,127.51,4.21,0
C00295,2023-05-19,Low Value,6,253.57,4.29,0
C00296,2023-09-25,Low Value,1,60.09,3.66,0
C00297,2023-06-09,Mid Value,8,825.72,4.26,0
C00298,2023-10-24,High Value,4,1662.69,4.01,0
C00299,2024-09-21,High Value,4,1629.51,3.45,0
C00300,2023-07-06,High Value,5,957.35,4.03,0
C00301,2024-08-15,Low Value,3,129.88,3.16,1
C00302,2023-06-27,Mid Value,1,107.48,3.95,0
C00303,2023-12-16,Low Value,1,48.7,2.78,1
C00304,2023-03-10,Mid Value,2,273.75,3.36,1
C00305,2024-02-10,Low Value,2,76.06,3.73,0
C00306,2023-07-05,High Value,4,1762.33,3.75,0
C00307,2024-10-16,Mid Value,3,391.23,4.09,0
C00308,2023-05-28,Low Value,1,60.9,3.02,0
C00309,2024-11-06,Low Value,1,39.82,4.37,0
C00310,2024-05-21,Low Value,4,254.16,4.06,0
C00311,2024-05-03,Low Value,2,95.71,4.19,0
C00312,2023-10-12,Mid Value,6,664.24,4.5,0
C00313,2023-02-01,Low Value,1,41.94,3.3,0
C00314,2023-07-16,Low Value,5,214.33,3.72,1
C00315,2023-06-15,Low Value,2,101.25,3.03,0
C00316,2023-12-17,Low Value,1,60.92,3.65,0
C00317,2024-11-16,Low Value,5,358.86,2.41,0
C00318,2024-07-31,Mid Value,1,110.57,3.4,0
C00319,2023-06-17,Low Value,4,224.72,3.8,0
C00320,2023-08-05,High Value,4,1250.91,2.73,0
C00321,2023-10-04,Low Value,2,133.82,4.02,0
C00322,2023-12-23,Low Value,2,114.53,3.95,1
C00323,2023-01-25,High Value,8,2403.98,4.03,0
C00324,2024-12-17,High Value,3,961.94,4.25,0
C00325,2023-07-16,High Value,7,2103.92,5.0,0
C00326,2024-07-16,Low Value,2,83.51,4.12,0
C00327,2024-05-05,High Value,3,818.68,3.56,0
C00328,2024-08-23,Mid Value,5,480.06,4.08,0
C00329,2024-06-25,High Value,5,1716.55,3.94,0
C00330,2024-03-28,Low Value,4,248.54,3.42,0
C00331,2024-12-21,Mid Value,2,306.48,4.73,0
C00332,2024-09-15,High Value,4,1382.21,4.91,0
C00333,2024-03-23,Low Value,1,48.38,4.38,0
C00334,2023-01-16,Low Value,1,45.5,3.15,0
C00335,2024-04-06,Low Value,4,248.35,2.82,1
C00336,2024-03-25,Low Value,1,36.83,4.2,0
C00337,2024-07-08,Low Value,3,148.95,2.85,0
C00338,2024-08-15,Low Value,1,33.92,3.52,0
C00339,2024-05-14,Mid Value,3,421.04,4.53,0
C00340,2023-05-28,Low Value,1,59.07,3.15,0
C00341,2023-01-09,Mid Value,2,315.78,5.0,0
C00342,2023-02-06,Low Value,2,81.99,3.86,0
C00343,2023-09-02,Mid Value,3,335.39,3.14,1
C00344,2024-12-24,Low Value,1,60.46,4.28,0
C00345,2023-05-25,Low Value,3,150.71,3.51,0
C00346,2023-04-14,Low Value,2,110.37,3.92,0
C00347,2024-09-21,Mid Value,5,648.63,2.77,0
C00348,2024-09-29,High Value,5,1788.68,3.03,0
C00349,2023-12-17,Low Value,4,189.81,4.02,0
C00350,2024-01-31,Low Value,1,56.72,3.65,0
C00351,2024-02-19,Mid Value,4,424.29,3.88,0
C00352,2024-06-06,Low Value,3,127.4,3.99,0
C00353,2024-02-02,Mid Value,6,838.91,4.09,0
C00354,2024-03-17,Mid Value,2,207.21,4.02,0
C00355,2024-12-24,Mid Value,3,426.27,4.09,0
C00356,2024-04-26,Low Value,2,153.35,4.3,0
C00357,2024-02-13,Mid Value,5,459.97,3.81,0
C00358,2023-04-01,Mid Value,2,283.66,3.79,0
C00359,2024-07-22,Low Value,1,54.02,4.03,0
C00360,2023-08-08,Mid Value,3,313.03,4.86,0
C00361,2024-01-18,High Value,4,941.65,2.3,0
C00362,2024-12-12,Mid Value,2,202.3,4.63,1
C00363,2024-08-07,Low Value,2,118.08,4.44,0
C00364,2024-04-10,Low Value,1,59.2,3.35,0
C00365,2023-02-18,Low Value,1,42.28,4.68,1
C00366,2023-08-03,Low Value,3,144.82,3.58,1
C00367,2024-04-12,Low Value,1,61.22,3.7,0
C00368,2023-11-06,Mid Value,3,341.52,4.38,0
C00369,2023-11-10,Low Value,4,214.68,4.52,0
C00370,2024-07-15,High Value,6,1846.66,2.61,0
C00371,2024-03-28,Low Value,1,56.91,3.01,0
C00372,2023-01-23,Low Value,3,126.74,3.56,0
C00373,2023-09-27,Low Value,3,106.49,4.03,0
C00374,2024-04-11,Low Value,2,81.93,3.55,0
C00375,2024-12-16,High Value,5,1706.05,3.24,0
C00376,2024-11-16,Mid Value,4,643.91,3.66,0
C00377,2023-09-19,Low Value,1,40.33,2.55,0
C00378,2023-05-18,Mid Value,7,915.88,4.68,0
C00379,2024-07-03,Mid Value,1,74.17,4.87,0
C00380,2024-08-31,Mid Value,5,566.79,4.19,0
C00381,2024-03-27,Mid Value,3,324.77,4.16,0
C00382,2024-01-27,High Value,8,3194.84,3.61,0
C00383,2023-09-21,Low Value,3,141.39,3.48,1
C00384,2023-07-01,Low Value,1,43.79,3.07,1
C00385,2024-06-02,High Value,10,3159.01,2.81,0
C00386,2023-11-01,Low Value,2,100.71,3.16,0
C00387,2024-03-21,Low Value,2,70.25,3.94,0
C00388,2024-07-11,Low Value,2,102.83,2.83,0
C00389,2023-12-25,Mid Value,4,592.7,4.3,0
C00390,2024-07-28,Low Value,3,159.8,3.1,0
C00391,2024-05-09,Low Value,2,114.08,4.1,0
C00392,2024-01-04,Mid Value,5,766.51,4.53,0
C00393,2024-07-05,Low Value,2,89.09,2.95,0
C00394,2023-06-20,Mid Value,5,714.07,2.63,0
C00395,2023-05-06,Low Value,1,57.78,2.94,0
C00396,2023-03-27,Low Value,1,54.65,1.82,1
C00397,2024-10-12,Low Value,1,40.87,3.41,1
C00398,2024-05-28,High Value,7,2199.46,4.17,0
C00399,2024-07-27,Low Value,1,32.47,3.67,0
C00400,2023-05-03,Mid Value,4,479.29,2.88,0
C00401,2023-08-01,Mid Value,2,256.02,4.16,0
C00402,2023-06-25,Low Value,2,78.92,3.92,1
C00403,2023-08-20,Mid Value,4,605.09,3.17,0
C00404,2024-07-24,High Value,5,1663.61,4.72,0
C00405,2023-08-12,Low Value,1,42.11,3.07,1
C00406,2024-01-25,Low Value,2,106.53,3.82,0
C00407,2024-03-31,Low Value,4,177.49,4.12,0
C00408,2023-11-15,Low Value,2,98.4,3.42,1
C00409,2023-02-16,Low Value,1,55.54,3.76,0
C00410,2024-09-22,High Value,9,2971.68,4.78,0
C00411,2023-03-09,Low Value,3,162.21,4.45,0
C00412,2024-06-29,Low Value,7,385.4,3.15,1
C00413,2024-06-09,Mid Value,6,573.05,4.03,1
C00414,2023-03-30,High Value,4,1356.43,2.51,0
C00415,2024-04-27,Mid Value,1,115.82,4.67,0
C00416,2024-04-17,Mid Value,5,548.49,4.13,0
C00417,2023-06-15,Mid Value,4,343.89,4.3,0
C00418,2023-03-13,High Value,3,1240.04,4.77,0
C00419,2023-07-14,Low Value,1,66.58,2.12,0
C00420,2023-05-23,Low Value,1,49.71,3.8,0
C00421,2024-03-13,Low Value,5,278.82,3.67,1
C00422,2023-09-11,Low Value,2,92.26,3.52,0
C00423,2023-03-02,Mid Value,7,646.61,3.69,1
C00424,2023-05-20,Mid Value,2,251.18,3.89,0
C00425,2024-05-16,Low Value,2,112.58,4.49,0
C00426,2024-04-08,Mid Value,6,473.19,3.7,0
C00427,2023-02-28,Low Value,2,98.47,4.27,0
C00428,2024-01-05,High Value,5,1353.84,4.62,0
C00429,2024-09-12,Mid Value,2,194.3,4.55,0
C00430,2024-02-09,Mid Value,4,571.92,5.0,0
C00431,2023-05-15,Mid Value,4,427.96,3.88,0
C00432,2023-04-17,High Value,9,3322.83,4.89,0
C00433,2023-09-30,Mid Value,4,617.76,3.77,0
C00434,2024-04-05,High Value,4,1507.46,3.77,0
C00435,2024-09-20,High Value,7,2495.99,4.44,0
C00436,2024-05-15,Low Value,3,104.04,3.61,0
C00437,2023-12-30,Mid Value,2,260.8,4.46,0
C00438,2023-03-31,Low Value,1,51.45,5.0,0
C00439,2023-09-11,Mid Value,3,301.54,4.1,0
C00440,2023-10-02,Low Value,3,153.87,3.42,0
C00441,2023-01-24,Low Value,3,121.35,4.27,0
C00442,2023-10-28,Mid Value,4,482.82,4.34,0
C00443,2024-11-28,Low Value,1,40.83,3.74,0
C00444,2024-12-13,High Value,6,2386.63,4.35,0
C00445,2024-02-23,Low Value,1,61.02,3.71,1
C00446,2024-03-28,Mid Value,5,650.82,3.54,0
C00447,2023-01-15,High Value,6,1531.6,5.0,0
C00448,2024-08-12,Mid Value,3,319.94,2.55,0
C00449,2023-10-26,Low Value,2,117.39,3.79,1
C00450,2023-02-16,Low Value,2,98.64,3.9,0
C00451,2024-10-03,Low Value,2,78.62,3.22,0
C00452,2024-01-22,Low Value,1,49.51,3.07,0
C00453,2023-07-12,Low Value,1,56.88,3.08,0
C00454,2023-05-16,Low Value,2,149.28,3.59,0
C00455,2024-10-17,Mid Value,4,575.67,3.27,0
C00456,2024-11-12,Low Value,3,157.42,3.46,1
C00457,2023-12-21,Low Value,2,103.42,2.7,0
C00458,2023-10-26,Low Value,1,42.62,3.49,0
C00459,2023-06-03,Low Value,1,46.05,2.86,0
C00460,2024-10-16,Low Value,1,51.65,3.61,0
C00461,2024-06-18,Low Value,3,154.32,3.63,1
C00462,2023-09-25,High Value,6,2019.63,3.65,0
C00463,2024-03-06,Low Value,1,48.92,3.39,0
C00464,2023-05-11,Low Value,2,62.69,2.03,0
C00465,2024-02-10,Mid Value,12,1864.68,4.18,0
C00466,2023-07-15,Low Value,4,235.54,4.27,1
C00467,2024-08-16,High Value,4,1694.12,3.66,0
C00468,2024-07-05,Mid Value,5,397.42,4.45,0
C00469,2024-06-30,Low Value,2,76.19,3.3,1
C00470,2023-11-22,Mid Value,2,337.05,3.69,0
C00471,2023-10-14,Mid Value,4,609.09,3.81,0
C00472,2024-07-12,Low Value,1,47.57,2.25,1
C00473,2024-02-29,High Value,4,1285.18,3.42,0
C00474,2023-01-05,Low Value,3,121.3,3.58,0
C00475,2024-08-31,Mid Value,6,548.36,5.0,0
C00476,2023-05-30,Low Value,2,98.49,2.86,0
C00477,2024-02-22,Low Value,1,56.05,3.98,1
C00478,2023-02-19,Mid Value,5,520.71,3.72,0
C00479,2024-04-30,Low Value,1,47.76,3.81,0
C00480,2023-04-17,Low Value,1,46.31,2.62,1
C00481,2023-01-20,Low Value,1,51.04,4.52,1
C00482,2023-01-08,Mid Value,3,324.84,4.24,0
C00483,2023-06-01,Low Value,1,47.77,3.81,0
C00484,2023-06-11,Low Value,4,283.66,3.57,0
C00485,2024-03-18,Mid Value,4,426.93,4.19,0
C00486,2024-11-04,Low Value,1,54.88,3.72,0
C00487,2024-03-06,Mid Value,6,665.63,3.14,0
C00488,2023-09-25,Low Value,1,67.01,2.71,0
C00489,2024-09-06,High Value,3,1401.57,3.7,0
C00490,2023-07-14,Low Value,3,193.92,3.07,0
C00491,2023-04-11,Mid Value,5,460.92,3.64,0
C00492,2024-11-12,High Value,12,2437.62,3.94,0
